=============================================================
Report on testing EasyOCR (2023-01-22 17:25:44.930845):
Accuracy on image num. 0: 85.16%;
Accuracy on image num. 1: 93.28%;
Accuracy on image num. 2: 77.43%;
Accuracy on image num. 3: 90.78%;
Accuracy on image num. 4: 90.66%;
Accuracy on image num. 5: 92.24%;
Accuracy on image num. 6: 89.87%;
Accuracy on image num. 7: 90.2%;
Accuracy on image num. 8: 83.96%;
Accuracy on image num. 9: 96.61%;
Accuracy on image num. 10: 95.27%;
Accuracy on image num. 11: 89.91%;
Accuracy on image num. 12: 83.03%;
Accuracy on image num. 13: 88.76%;
Accuracy on image num. 14: 91.42%;
Accuracy on image num. 15: 77.08%;
Accuracy on image num. 16: 85.33%;
Accuracy on image num. 17: 89.28%;
Accuracy on image num. 18: 93.62%;
Accuracy on image num. 19: 93.75%;
Accuracy on image num. 20: 85.17%;
Accuracy on image num. 21: 96.01%;
Accuracy on image num. 22: 96.01%;
Accuracy on image num. 23: 93.85%;
Accuracy on image num. 24: 93.11%;
Accuracy on image num. 25: 94.21%;
Accuracy on image num. 26: 86.47%;
Accuracy on image num. 27: 92.29%;
Accuracy on image num. 28: 82.82%;
Accuracy on image num. 29: 83.17%;
Accuracy on image num. 30: 87.36%;
Accuracy on image num. 31: 91.85%;
Accuracy on image num. 32: 93.76%;
Accuracy on image num. 33: 96.02%;
Accuracy on image num. 34: 89.99%;
Accuracy on image num. 35: 91.51%;
Accuracy on image num. 36: 97.06%;
Accuracy on image num. 37: 91.42%;
Accuracy on image num. 38: 90.44%;
Accuracy on image num. 39: 87.33%;
Accuracy on image num. 40: 91.75%;
Accuracy on image num. 41: 90.33%;
Accuracy on image num. 42: 93.38%;
Accuracy on image num. 43: 91.2%;
Accuracy on image num. 44: 93.09%;
Accuracy on image num. 45: 94.22%;
Accuracy on image num. 46: 82.6%;
Accuracy on image num. 47: 91.22%;
Accuracy on image num. 48: 91.44%;
Accuracy on image num. 49: 92.13%;
Accuracy on image num. 50: 87.93%;
Accuracy on image num. 51: 89.64%;
Accuracy on image num. 52: 84.17%;
Accuracy on image num. 53: 89.73%;
Accuracy on image num. 54: 86.2%;
Accuracy on image num. 55: 94.49%;
Accuracy on image num. 56: 93.73%;
Accuracy on image num. 57: 96.27%;
Accuracy on image num. 58: 92.26%;
Accuracy on image num. 59: 90.79%;
Accuracy on image num. 60: 94.66%;
Accuracy on image num. 61: 94.01%;
Accuracy on image num. 62: 92.32%;
Accuracy on image num. 63: 86.47%;
Accuracy on image num. 64: 93.31%;
Accuracy on image num. 65: 93.8%;
Accuracy on image num. 66: 94.44%;
Accuracy on image num. 67: 89.95%;
Accuracy on image num. 68: 91.98%;
Accuracy on image num. 69: 90.38%;
Accuracy on image num. 70: 96.88%;
Accuracy on image num. 71: 88.5%;
Accuracy on image num. 72: 94.95%;
Accuracy on image num. 73: 94.26%;
Accuracy on image num. 74: 92.97%;
Accuracy on image num. 75: 88.59%;
Accuracy on image num. 76: 87.39%;
Accuracy on image num. 77: 80.09%;
Accuracy on image num. 78: 84.88%;
Accuracy on image num. 79: 90.78%;
Accuracy on image num. 80: 90.29%;
Accuracy on image num. 81: 92.85%;
Accuracy on image num. 82: 79.77%;
Accuracy on image num. 83: 93.29%;
Accuracy on image num. 84: 90.75%;
Accuracy on image num. 85: 91.09%;
Accuracy on image num. 86: 86.78%;
Accuracy on image num. 87: 96.95%;
Accuracy on image num. 88: 94.8%;
Accuracy on image num. 89: 88.11%;
Accuracy on image num. 90: 92.99%;
Accuracy on image num. 91: 92.27%;
Accuracy on image num. 92: 81.86%;
Accuracy on image num. 93: 91.59%;
Accuracy on image num. 94: 97.14%;
Accuracy on image num. 95: 93.94%;
Accuracy on image num. 96: 93.02%;
Accuracy on image num. 97: 89.3%;
Accuracy on image num. 98: 87.58%;
Accuracy on image num. 99: 93.65%;
Accuracy on image num. 100: 97.88%;
Accuracy on image num. 101: 87.1%;
Accuracy on image num. 102: 90.24%;
Accuracy on image num. 103: 89.4%;
Accuracy on image num. 104: 53.08%;
Accuracy on image num. 105: 92.92%;
Accuracy on image num. 106: 89.72%;
Accuracy on image num. 107: 89.92%;
Accuracy on image num. 108: 82.97%;
Accuracy on image num. 109: 94.57%;
Accuracy on image num. 110: 95.9%;
Accuracy on image num. 111: 92.33%;
Accuracy on image num. 112: 80.24%;
Accuracy on image num. 113: 98.86%;
Accuracy on image num. 114: 94.43%;
Accuracy on image num. 115: 78.89%;
Accuracy on image num. 116: 92.62%;
Accuracy on image num. 117: 90.42%;
Accuracy on image num. 118: 89.91%;
Accuracy on image num. 119: 91.87%;
Accuracy on image num. 120: 90.01%;
Accuracy on image num. 121: 92.63%;
Accuracy on image num. 122: 95.3%;
Accuracy on image num. 123: 92.83%;
Accuracy on image num. 124: 94.57%;
Accuracy on image num. 125: 90.51%;
Accuracy on image num. 126: 81.99%;
Accuracy on image num. 127: 93.62%;
Accuracy on image num. 128: 94.48%;
Accuracy on image num. 129: 93.77%;
Accuracy on image num. 130: 96.13%;
Accuracy on image num. 131: 89.16%;
Accuracy on image num. 132: 90.21%;
Accuracy on image num. 133: 95.86%;
Accuracy on image num. 134: 93.52%;
Accuracy on image num. 135: 79.24%;
Accuracy on image num. 136: 95.44%;
Accuracy on image num. 137: 88.62%;
Accuracy on image num. 138: 93.75%;
Accuracy on image num. 139: 93.8%;
Accuracy on image num. 140: 91.05%;
Accuracy on image num. 141: 91.95%;
Accuracy on image num. 142: 90.65%;
Accuracy on image num. 143: 91.54%;
Accuracy on image num. 144: 91.34%;
Accuracy on image num. 145: 95.58%;
Accuracy on image num. 146: 94.75%;
Accuracy on image num. 147: 89.89%;
Accuracy on image num. 148: 81.75%;
Accuracy on image num. 149: 97.01%;
Accuracy on image num. 150: 81.5%;
Accuracy on image num. 151: 95.5%;
Accuracy on image num. 152: 88.63%;
Empty picture found on image num.153;
Accuracy on image num. 153: 88.63%;
Accuracy on image num. 154: 96.46%;
Accuracy on image num. 155: 92.13%;
Accuracy on image num. 156: 93.97%;
Accuracy on image num. 157: 62.89%;
Accuracy on image num. 158: 66.28%;
Accuracy on image num. 159: 91.07%;
Accuracy on image num. 160: 55.92%;
Accuracy on image num. 161: 86.28%;
Accuracy on image num. 162: 95.83%;
Accuracy on image num. 163: 93.91%;
Accuracy on image num. 164: 93.67%;
Accuracy on image num. 165: 92.27%;
Accuracy on image num. 166: 92.47%;
Accuracy on image num. 167: 90.3%;
Accuracy on image num. 168: 94.46%;
Accuracy on image num. 169: 91.14%;
Accuracy on image num. 170: 62.17%;
Accuracy on image num. 171: 92.09%;
Accuracy on image num. 172: 94.66%;
Accuracy on image num. 173: 91.81%;
Accuracy on image num. 174: 94.43%;
Accuracy on image num. 175: 93.76%;
Accuracy on image num. 176: 88.87%;
Accuracy on image num. 177: 93.75%;
Accuracy on image num. 178: 92.21%;
Accuracy on image num. 179: 93.42%;
Accuracy on image num. 180: 90.23%;
Accuracy on image num. 181: 93.53%;
Accuracy on image num. 182: 96.54%;
Accuracy on image num. 183: 91.51%;
Accuracy on image num. 184: 92.48%;
Accuracy on image num. 185: 91.3%;
Accuracy on image num. 186: 95.63%;
Accuracy on image num. 187: 79.52%;
Accuracy on image num. 188: 86.52%;
Accuracy on image num. 189: 96.06%;
Accuracy on image num. 190: 88.88%;
Accuracy on image num. 191: 93.46%;
Accuracy on image num. 192: 92.01%;
Accuracy on image num. 193: 90.38%;
Accuracy on image num. 194: 89.54%;
Accuracy on image num. 195: 91.69%;
Accuracy on image num. 196: 91.5%;
Accuracy on image num. 197: 92.84%;
Accuracy on image num. 198: 95.08%;
Accuracy on image num. 199: 93.88%;
Accuracy on image num. 200: 94.24%;
Accuracy on image num. 201: 89.14%;
Accuracy on image num. 202: 94.01%;
Accuracy on image num. 203: 97.32%;
Accuracy on image num. 204: 96.68%;
Accuracy on image num. 205: 80.68%;
Accuracy on image num. 206: 96.7%;
Accuracy on image num. 207: 86.32%;
Accuracy on image num. 208: 91.0%;
Accuracy on image num. 209: 93.25%;
Accuracy on image num. 210: 94.59%;
Accuracy on image num. 211: 90.33%;
Accuracy on image num. 212: 91.84%;
Accuracy on image num. 213: 81.9%;
Accuracy on image num. 214: 95.95%;
Accuracy on image num. 215: 95.78%;
Accuracy on image num. 216: 91.7%;
Accuracy on image num. 217: 88.47%;
Accuracy on image num. 218: 84.71%;
Accuracy on image num. 219: 90.69%;
Accuracy on image num. 220: 94.41%;
Accuracy on image num. 221: 86.18%;
Accuracy on image num. 222: 90.38%;
Accuracy on image num. 223: 90.2%;
Accuracy on image num. 224: 93.7%;
Accuracy on image num. 225: 94.26%;
Accuracy on image num. 226: 91.7%;
Accuracy on image num. 227: 96.19%;
Accuracy on image num. 228: 90.48%;
Accuracy on image num. 229: 93.02%;
Accuracy on image num. 230: 86.18%;
Accuracy on image num. 231: 88.15%;
Accuracy on image num. 232: 90.64%;
Accuracy on image num. 233: 58.24%;
Accuracy on image num. 234: 86.79%;
Accuracy on image num. 235: 94.3%;
Accuracy on image num. 236: 93.28%;
Accuracy on image num. 237: 93.23%;
Accuracy on image num. 238: 96.36%;
Accuracy on image num. 239: 94.01%;
Accuracy on image num. 240: 94.58%;
Accuracy on image num. 241: 90.92%;
Accuracy on image num. 242: 89.48%;
Accuracy on image num. 243: 89.47%;
Accuracy on image num. 244: 95.85%;
Accuracy on image num. 245: 97.16%;
Accuracy on image num. 246: 94.85%;
Accuracy on image num. 247: 90.61%;
Accuracy on image num. 248: 91.42%;
Accuracy on image num. 249: 90.24%;
Accuracy on image num. 250: 85.2%;
Accuracy on image num. 251: 91.7%;
Accuracy on image num. 252: 67.58%;
Accuracy on image num. 253: 81.77%;
Accuracy on image num. 254: 93.01%;
Accuracy on image num. 255: 86.9%;
Accuracy on image num. 256: 89.02%;
Accuracy on image num. 257: 88.61%;
Accuracy on image num. 258: 95.78%;
Accuracy on image num. 259: 93.61%;
Accuracy on image num. 260: 88.46%;
Accuracy on image num. 261: 96.89%;
Accuracy on image num. 262: 92.4%;
Accuracy on image num. 263: 94.89%;
Accuracy on image num. 264: 91.81%;
